University,Program,Year,Closing_Merit,Total_Seats,Applicants,Admission_Status
University of Agriculture Faisalabad (UAF),Chemical Engineering,2021,71.25,150,1974,Closed
Air University Islamabad,Economics,2024,82.88,120,1909,Closed
National University of Sciences and Technology (NUST),Artificial Intelligence,2016,98.11,100,1221,Closed
University of Karachi,Civil Engineering,2024,71.48,60,869,Closed
University of Engineering and Technology (UET) Lahore,Mechanical Engineering,2021,90.89,40,256,Closed
Riphah International University,Electrical Engineering,2016,72.32,80,901,Closed
University of Engineering and Technology (UET) Lahore,Biomedical Engineering,2015,92.25,40,720,Closed
University of Karachi,Electrical Engineering,2019,78.73,100,1464,Closed
Quaid-i-Azam University (QAU),Business Administration,2022,88.54,100,516,Closed
University of Management and Technology (UMT),Mechanical Engineering,2017,69.8,40,378,Closed
Mehran University of Engineering and Technology,Business Administration,2018,75.6,150,914,Closed
University of Central Punjab (UCP),Business Administration,2019,65.77,50,204,Closed
University of Central Punjab (UCP),Computer Science,2022,77.6,40,467,Closed
FAST National University,Economics,2024,85.58,100,1461,Closed
University of Engineering and Technology (UET) Lahore,Business Administration,2015,89.81,50,391,Closed
Mehran University of Engineering and Technology,Computer Science,2021,83.81,150,2023,Closed
Mehran University of Engineering and Technology,Chemical Engineering,2015,75.03,60,804,Closed
Bahauddin Zakariya University (BZU) Multan,Software Engineering,2016,76.08,40,479,Closed
Superior University Lahore,Computer Science,2017,71.69,120,860,Closed
National University of Sciences and Technology (NUST),Artificial Intelligence,2023,99.5,80,759,Closed
University of Sargodha,Civil Engineering,2021,62.69,60,459,Closed
Air University Islamabad,Software Engineering,2017,83.84,40,612,Closed
NED University of Engineering and Technology,Chemical Engineering,2016,82.18,100,906,Closed
University of Gujrat,Computer Science,2019,74.02,120,1194,Closed
University of Karachi,Business Administration,2022,71.53,40,485,Closed
Mehran University of Engineering and Technology,Mathematics,2018,73.88,50,650,Closed
NED University of Engineering and Technology,Computer Science,2024,93.88,150,1647,Closed
University of Engineering and Technology (UET) Lahore,Chemical Engineering,2017,93.51,40,563,Closed
University of the Punjab (Gujranwala Campus),Civil Engineering,2015,70.27,150,695,Closed
University of Gujrat,Electrical Engineering,2018,69.59,150,1195,Closed
University of Agriculture Faisalabad (UAF),Mechanical Engineering,2019,68.63,60,876,Closed
Bahauddin Zakariya University (BZU) Multan,Economics,2016,69.86,80,937,Closed
Ghulam Ishaq Khan Institute (GIKI),Artificial Intelligence,2020,98.05,40,389,Closed
Mehran University of Engineering and Technology,Civil Engineering,2020,72.66,60,506,Closed
Institute of Space Technology (IST),Business Administration,2021,82.44,60,826,Closed
Riphah International University,Economics,2023,68.79,60,873,Closed
NED University of Engineering and Technology,Civil Engineering,2022,85.09,50,638,Closed
University of Sargodha,Software Engineering,2024,73.78,100,1493,Closed
FAST National University,Software Engineering,2022,88.92,80,683,Closed
Punjab University (PU),Software Engineering,2018,87.07,120,2029,Closed
Bahria University,Computer Science,2022,89.04,100,1695,Closed
Bahria University,Mechanical Engineering,2020,75.52,80,956,Closed
Air University Islamabad,Electrical Engineering,2021,84.7,100,1074,Closed
National University of Sciences and Technology (NUST),Software Engineering,2017,97.4,150,2599,Closed
Lahore University of Management Sciences (LUMS),Chemical Engineering,2021,99.5,120,1354,Closed
Mehran University of Engineering and Technology,Artificial Intelligence,2020,81.73,80,989,Closed
Air University Islamabad,Computer Science,2022,87.1,50,656,Closed
National University of Sciences and Technology (NUST),Computer Science,2021,99.5,50,620,Closed
Air University Islamabad,Artificial Intelligence,2019,88.61,120,1116,Closed
National University of Sciences and Technology (NUST),Electrical Engineering,2023,96.55,150,2156,Closed
Superior University Lahore,Data Science,2015,70.53,120,679,Closed
National University of Sciences and Technology (NUST),Economics,2019,93.01,100,1274,Closed
Institute of Space Technology (IST),Biomedical Engineering,2020,84.28,60,424,Closed
University of Management and Technology (UMT),Artificial Intelligence,2020,76.89,120,1925,Closed
University of Gujrat,Civil Engineering,2017,62.79,50,576,Closed
Lahore University of Management Sciences (LUMS),Civil Engineering,2017,90.8,80,1045,Closed
Lahore University of Management Sciences (LUMS),Economics,2024,94.99,150,2826,Closed
National University of Sciences and Technology (NUST),Chemical Engineering,2016,94.36,80,1509,Closed
Riphah International University,Mechanical Engineering,2023,69.45,80,699,Closed
University of Sargodha,Computer Science,2020,73.44,60,564,Closed
Bahauddin Zakariya University (BZU) Multan,Economics,2022,70.63,80,872,Closed
University of Engineering and Technology (UET) Lahore,Biomedical Engineering,2022,94.82,150,926,Closed
University of Karachi,Computer Science,2015,79.1,40,672,Closed
University of Sargodha,Computer Science,2017,73.58,100,1206,Closed
NED University of Engineering and Technology,Computer Science,2018,87.97,60,809,Closed
Punjab University (PU),Electrical Engineering,2019,82.58,60,1056,Closed
University of Karachi,Electrical Engineering,2015,77.2,150,1069,Closed
NED University of Engineering and Technology,Mathematics,2015,82.01,60,319,Closed
Bahria University,Data Science,2017,82.03,100,775,Closed
Mehran University of Engineering and Technology,Economics,2023,79.39,100,803,Closed
Mehran University of Engineering and Technology,Chemical Engineering,2022,77.23,100,487,Closed
National University of Sciences and Technology (NUST),Mechanical Engineering,2023,94.15,60,998,Closed
University of Central Punjab (UCP),Software Engineering,2021,73.15,50,402,Closed
University of Gujrat,Civil Engineering,2022,67.62,120,895,Closed
FAST National University,Artificial Intelligence,2022,94.96,120,847,Closed
Riphah International University,Data Science,2023,81.27,80,681,Closed
Riphah International University,Electrical Engineering,2018,74.59,60,922,Closed
Quaid-i-Azam University (QAU),Artificial Intelligence,2024,95.95,40,327,Closed
National University of Sciences and Technology (NUST),Civil Engineering,2021,94.23,50,983,Closed
University of the Punjab (Gujranwala Campus),Biomedical Engineering,2016,77.48,80,904,Closed
Bahauddin Zakariya University (BZU) Multan,Business Administration,2020,70.11,50,717,Closed
FAST National University,Economics,2017,83.19,40,363,Closed
Bahria University,Economics,2021,79.62,50,707,Closed
University of Karachi,Business Administration,2023,73.31,60,872,Closed
University of Gujrat,Economics,2022,68.13,120,1316,Closed
Superior University Lahore,Mechanical Engineering,2018,63.65,50,451,Closed
University of the Punjab (Gujranwala Campus),Data Science,2016,80.23,80,466,Closed
Bahria University,Electrical Engineering,2024,81.96,150,2267,Closed
COMSATS University Islamabad,Computer Science,2016,86.04,150,1455,Closed
NED University of Engineering and Technology,Computer Science,2020,91.12,50,617,Closed
Islamia University of Bahawalpur,Computer Science,2016,70.12,100,1083,Closed
University of Sargodha,Economics,2017,64.77,100,719,Closed
Air University Islamabad,Civil Engineering,2024,82.0,80,712,Closed
Punjab University (PU),Computer Science,2016,88.1,80,451,Closed
COMSATS University Islamabad,Economics,2022,81.05,150,1793,Closed
Islamia University of Bahawalpur,Chemical Engineering,2017,65.72,50,485,Closed
University of Central Punjab (UCP),Artificial Intelligence,2021,79.41,150,1277,Closed
Mehran University of Engineering and Technology,Data Science,2020,81.12,150,1299,Closed
Superior University Lahore,Business Administration,2022,66.2,120,934,Closed
Superior University Lahore,Economics,2018,62.18,80,1018,Closed
NED University of Engineering and Technology,Business Administration,2023,83.13,60,892,Closed
Bahauddin Zakariya University (BZU) Multan,Civil Engineering,2017,66.15,40,450,Closed
NED University of Engineering and Technology,Mathematics,2024,84.32,80,1176,Closed
Riphah International University,Mechanical Engineering,2021,72.65,120,805,Closed
Lahore University of Management Sciences (LUMS),Mathematics,2017,92.39,,867,Closed
Air University Islamabad,Economics,2017,80.53,40,509,Closed
Islamia University of Bahawalpur,Mechanical Engineering,2022,68.35,120,689,Closed
Lahore University of Management Sciences (LUMS),Civil Engineering,2018,92.7,150,821,Closed
University of Karachi,Data Science,2019,78.18,60,703,Closed
Punjab University (PU),Mathematics,2017,80.8,100,569,Closed
Punjab University (PU),Mathematics,2019,78.46,80,837,Closed
FAST National University,Economics,2016,84.56,50,807,Closed
University of Agriculture Faisalabad (UAF),Chemical Engineering,2015,69.17,40,422,Closed
University of Sargodha,Artificial Intelligence,2024,75.44,40,301,Closed
University of the Punjab (Gujranwala Campus),Mechanical Engineering,2016,73.01,40,248,Closed
NED University of Engineering and Technology,Business Administration,2022,84.97,60,355,Closed
University of Engineering and Technology (UET) Taxila,Biomedical Engineering,2015,86.11,,615,Closed
Air University Islamabad,Business Administration,2017,77.7,150,2359,Closed
University of Central Punjab (UCP),Mechanical Engineering,2021,68.88,120,1579,Closed
National University of Sciences and Technology (NUST),Data Science,2024,99.5,60,421,Closed
NED University of Engineering and Technology,Electrical Engineering,2022,86.6,120,2166,Closed
University of Management and Technology (UMT),Mechanical Engineering,2024,73.16,150,761,Closed
Riphah International University,Software Engineering,2021,75.9,40,424,Closed
University of the Punjab (Gujranwala Campus),Software Engineering,2024,79.52,100,641,Closed
University of Gujrat,Computer Science,2018,75.25,120,690,Closed
Punjab University (PU),Mathematics,2018,76.81,100,498,Closed
University of Gujrat,Biomedical Engineering,2022,73.62,80,424,Closed
Mehran University of Engineering and Technology,Computer Science,2018,80.24,120,1436,Closed
University of Engineering and Technology (UET) Lahore,Chemical Engineering,2016,93.14,50,307,Closed
National University of Sciences and Technology (NUST),Chemical Engineering,2022,96.81,120,2233,Closed
Superior University Lahore,Economics,2021,67.67,100,1221,Closed
Institute of Space Technology (IST),Computer Science,2016,89.2,150,2820,Closed
University of Engineering and Technology (UET) Taxila,Software Engineering,2015,86.08,150,2276,Closed
University of Engineering and Technology (UET) Lahore,Civil Engineering,2016,87.13,100,1116,Closed
COMSATS University Islamabad,Artificial Intelligence,2021,88.13,150,2240,Closed
University of Engineering and Technology (UET) Taxila,Mechanical Engineering,2015,80.75,50,579,Closed
University of Engineering and Technology (UET) Taxila,Business Administration,2020,83.57,120,1380,Closed
Punjab University (PU),Software Engineering,2022,83.48,150,1468,Closed
Institute of Space Technology (IST),Economics,2023,87.1,50,629,Closed
Air University Islamabad,Mechanical Engineering,2020,79.56,60,566,Closed
University of Management and Technology (UMT),Mathematics,2018,69.03,40,386,Closed
Air University Islamabad,Data Science,2015,85.01,80,1378,Closed
Bahauddin Zakariya University (BZU) Multan,Civil Engineering,2021,68.74,40,248,Closed
University of Gujrat,Economics,2024,67.26,50,548,Closed
Riphah International University,Software Engineering,2018,74.7,50,286,Closed
FAST National University,Business Administration,2018,85.23,50,256,Closed
Bahria University,Software Engineering,2015,80.96,40,454,Closed
Institute of Space Technology (IST),Data Science,2023,90.91,40,678,Closed
Institute of Space Technology (IST),Biomedical Engineering,2015,84.34,80,1314,Closed
University of the Punjab (Gujranwala Campus),Software Engineering,2017,77.61,60,535,Closed
Bahauddin Zakariya University (BZU) Multan,Biomedical Engineering,2020,73.44,80,759,Closed
University of Sargodha,Software Engineering,2020,71.67,100,1357,Closed
National University of Sciences and Technology (NUST),Economics,2018,94.49,80,721,Closed
University of Agriculture Faisalabad (UAF),Biomedical Engineering,2019,74.75,120,1553,Closed
University of Engineering and Technology (UET) Lahore,Biomedical Engineering,2019,95.68,60,432,Closed
Bahauddin Zakariya University (BZU) Multan,Mathematics,2018,67.74,80,934,Closed
University of Gujrat,Mathematics,2018,63.79,80,746,Closed
University of Management and Technology (UMT),Economics,2018,68.72,120,852,Closed
National University of Sciences and Technology (NUST),Computer Science,2022,99.5,80,1007,Closed
Punjab University (PU),Computer Science,2021,88.1,120,843,Closed
University of Engineering and Technology (UET) Lahore,Mathematics,2022,93.68,80,457,Closed
University of Engineering and Technology (UET) Taxila,Software Engineering,2017,90.57,100,899,Closed
NED University of Engineering and Technology,Economics,2017,83.54,100,1788,Closed
University of Agriculture Faisalabad (UAF),Data Science,2021,77.83,100,1615,Closed
Institute of Space Technology (IST),Biomedical Engineering,2022,88.72,120,1435,Closed
University of Karachi,Mathematics,2022,73.7,60,437,Closed
University of Engineering and Technology (UET) Taxila,Computer Science,2017,90.47,80,749,Closed
Islamia University of Bahawalpur,Biomedical Engineering,2024,74.49,50,566,Closed
Islamia University of Bahawalpur,Artificial Intelligence,2019,73.87,100,1450,Closed
National University of Sciences and Technology (NUST),Civil Engineering,2020,90.81,100,1894,Closed
COMSATS University Islamabad,Economics,2021,77.57,120,1583,Closed
National University of Sciences and Technology (NUST),Data Science,2015,99.5,60,1020,Closed
University of Karachi,Mathematics,2016,73.18,40,587,Closed
Bahria University,Biomedical Engineering,2016,82.91,40,566,Closed
University of Agriculture Faisalabad (UAF),Chemical Engineering,2016,68.7,50,419,Closed
University of Karachi,Biomedical Engineering,2021,80.05,120,1840,Closed
Institute of Space Technology (IST),Software Engineering,2019,87.37,150,2754,Closed
Punjab University (PU),Business Administration,2024,77.55,100,623,Closed
Air University Islamabad,Civil Engineering,2021,80.51,40,483,Closed
National University of Sciences and Technology (NUST),Civil Engineering,2019,93.04,80,1243,Closed
Bahria University,Artificial Intelligence,2020,87.5,120,913,Closed
Islamia University of Bahawalpur,Mechanical Engineering,2016,66.74,40,561,Closed
University of Engineering and Technology (UET) Taxila,Artificial Intelligence,2020,94.59,40,666,Closed
Punjab University (PU),Mechanical Engineering,2020,83.46,60,1005,Closed
University of Central Punjab (UCP),Mathematics,2015,64.39,80,900,Closed
University of Gujrat,Artificial Intelligence,2015,75.23,150,1871,Closed
Quaid-i-Azam University (QAU),Chemical Engineering,2017,86.62,60,576,Closed
Quaid-i-Azam University (QAU),Computer Science,2020,95.28,150,2565,Closed
Punjab University (PU),Electrical Engineering,2018,82.14,80,485,Closed
Air University Islamabad,Computer Science,2015,84.91,120,1319,Closed
Lahore University of Management Sciences (LUMS),Software Engineering,2016,99.5,80,1326,Closed
Mehran University of Engineering and Technology,Civil Engineering,2023,76.07,50,263,Closed
Institute of Space Technology (IST),Mechanical Engineering,2021,83.13,150,751,Closed
Air University Islamabad,Software Engineering,2019,85.04,150,1385,Closed
National University of Sciences and Technology (NUST),Mechanical Engineering,2017,95.01,80,696,Closed
National University of Sciences and Technology (NUST),Electrical Engineering,2017,94.52,50,893,Closed
Mehran University of Engineering and Technology,Artificial Intelligence,2022,87.87,50,561,Closed
University of Agriculture Faisalabad (UAF),Civil Engineering,2024,71.4,40,217,Closed
FAST National University,Electrical Engineering,2019,90.39,120,1421,Closed
University of Gujrat,Civil Engineering,2021,64.33,80,439,Closed
Punjab University (PU),Software Engineering,2017,87.62,120,750,Closed
University of Sargodha,Business Administration,2020,64.21,50,189,Closed
University of Central Punjab (UCP),Electrical Engineering,2023,72.68,50,703,Closed
Islamia University of Bahawalpur,Business Administration,2023,67.48,60,767,Closed
Superior University Lahore,Electrical Engineering,2015,65.12,120,1301,Closed
University of Engineering and Technology (UET) Taxila,Data Science,2023,95.52,150,1323,Closed
Superior University Lahore,Mathematics,2023,65.2,150,940,Closed
Punjab University (PU),Biomedical Engineering,2021,86.01,100,1747,Closed
NED University of Engineering and Technology,Civil Engineering,2024,84.11,60,670,Closed
Ghulam Ishaq Khan Institute (GIKI),Mechanical Engineering,2021,93.03,80,880,Closed
Punjab University (PU),Artificial Intelligence,2023,89.79,150,1081,Closed
Bahria University,Economics,2024,83.28,80,819,Closed
Bahria University,Economics,2018,77.43,60,373,Closed
University of Karachi,Mathematics,2024,73.61,60,289,Closed
Quaid-i-Azam University (QAU),Mechanical Engineering,2017,87.98,150,1339,Closed
Lahore University of Management Sciences (LUMS),Economics,2022,95.51,120,671,Closed
University of Engineering and Technology (UET) Lahore,Economics,2017,88.7,120,931,Closed
University of Central Punjab (UCP),Mathematics,2020,65.77,40,195,Closed
University of Gujrat,Electrical Engineering,2019,72.31,100,1167,Closed
National University of Sciences and Technology (NUST),Economics,2015,92.26,40,341,Closed
University of Engineering and Technology (UET) Taxila,Electrical Engineering,2019,89.21,60,742,Closed
Islamia University of Bahawalpur,Business Administration,2017,64.07,50,653,Closed
FAST National University,Data Science,2018,94.09,150,2407,Closed
COMSATS University Islamabad,Mathematics,2018,77.85,100,893,Closed
NED University of Engineering and Technology,Biomedical Engineering,2016,85.1,60,656,Closed
Superior University Lahore,Software Engineering,2023,72.02,80,1219,Closed
University of the Punjab (Gujranwala Campus),Electrical Engineering,2015,72.08,50,611,Closed
COMSATS University Islamabad,Computer Science,2015,82.15,100,1377,Closed
Punjab University (PU),Chemical Engineering,2015,82.06,80,1401,Closed
Bahauddin Zakariya University (BZU) Multan,Biomedical Engineering,2015,73.38,50,252,Closed
University of Karachi,Artificial Intelligence,2015,77.62,100,1371,Closed
Riphah International University,Software Engineering,2022,75.43,40,289,Closed
Quaid-i-Azam University (QAU),Mathematics,2015,83.6,50,678,Closed
University of Karachi,Mathematics,2023,73.46,80,531,Closed
University of Gujrat,Mathematics,2023,70.91,50,372,Closed
Air University Islamabad,Economics,2015,77.98,80,1111,Closed
University of Karachi,Economics,2017,72.74,80,432,Closed
Islamia University of Bahawalpur,Data Science,2016,71.38,60,746,Closed
Quaid-i-Azam University (QAU),Chemical Engineering,2015,89.0,80,528,Closed
Lahore University of Management Sciences (LUMS),Civil Engineering,2024,92.5,60,668,Closed
University of Management and Technology (UMT),Chemical Engineering,2023,71.93,80,509,Closed
Islamia University of Bahawalpur,Artificial Intelligence,2017,75.6,60,822,Closed
Superior University Lahore,Data Science,2018,72.0,40,399,Closed
University of Management and Technology (UMT),Artificial Intelligence,2024,79.51,40,263,Closed
Air University Islamabad,Electrical Engineering,2020,82.25,50,345,Closed
Punjab University (PU),Chemical Engineering,2019,82.77,150,1594,Closed
University of Gujrat,Civil Engineering,2023,65.0,120,940,Closed
University of Sargodha,Mathematics,2016,62.78,100,1191,Closed
Bahauddin Zakariya University (BZU) Multan,Computer Science,2017,76.3,,749,Closed
University of Engineering and Technology (UET) Lahore,Electrical Engineering,2016,91.0,100,1290,Closed
University of Karachi,Civil Engineering,2015,68.05,100,520,Closed
National University of Sciences and Technology (NUST),Mechanical Engineering,2021,95.31,40,602,Closed
Lahore University of Management Sciences (LUMS),Electrical Engineering,2018,98.29,50,708,Closed
COMSATS University Islamabad,Data Science,2019,83.1,120,1786,Closed
University of Engineering and Technology (UET) Lahore,Economics,2024,90.21,100,1827,Closed
University of Karachi,Mathematics,2017,70.82,80,1096,Closed
University of Management and Technology (UMT),Biomedical Engineering,2022,75.79,150,2405,Closed
Superior University Lahore,Data Science,2019,70.55,150,1314,Closed
Institute of Space Technology (IST),Mathematics,2022,83.37,80,1333,Closed
Ghulam Ishaq Khan Institute (GIKI),Artificial Intelligence,2018,97.72,100,1001,Closed
Lahore University of Management Sciences (LUMS),Software Engineering,2019,98.38,60,340,Closed
University of Engineering and Technology (UET) Taxila,Computer Science,2018,90.48,50,747,Closed
NED University of Engineering and Technology,Civil Engineering,2016,78.41,60,725,Closed
Riphah International University,Software Engineering,2017,74.67,80,771,Closed
Islamia University of Bahawalpur,Electrical Engineering,2016,69.29,50,625,Closed
Mehran University of Engineering and Technology,Software Engineering,2019,79.34,50,364,Closed
University of Management and Technology (UMT),Economics,2016,71.57,120,1691,Closed
Lahore University of Management Sciences (LUMS),Computer Science,2023,99.5,40,438,Closed
University of Gujrat,Biomedical Engineering,2024,75.79,50,405,Closed
University of the Punjab (Gujranwala Campus),Civil Engineering,2020,73.78,50,573,Closed
Bahauddin Zakariya University (BZU) Multan,Biomedical Engineering,2021,74.58,60,680,Closed
Riphah International University,Business Administration,2016,67.96,50,351,Closed
FAST National University,Software Engineering,2015,89.69,80,1412,Closed
University of Central Punjab (UCP),Business Administration,2020,66.05,60,818,Closed
Bahria University,Data Science,2018,81.74,60,994,Closed
Bahria University,Chemical Engineering,2019,77.84,100,1215,Closed
Bahauddin Zakariya University (BZU) Multan,Data Science,2018,79.78,40,505,Closed
Riphah International University,Electrical Engineering,2023,74.47,40,569,Closed
Punjab University (PU),Chemical Engineering,2023,84.24,50,608,Closed
National University of Sciences and Technology (NUST),Artificial Intelligence,2018,99.5,80,1656,Closed
FAST National University,Artificial Intelligence,2023,93.74,120,2184,Closed
Mehran University of Engineering and Technology,Computer Science,2020,82.53,40,334,Closed
Punjab University (PU),Mechanical Engineering,2018,81.09,50,359,Closed
Punjab University (PU),Civil Engineering,2018,80.5,60,970,Closed
Institute of Space Technology (IST),Mechanical Engineering,2015,79.94,50,389,Closed
University of Sargodha,Computer Science,2018,69.64,60,535,Closed
University of Management and Technology (UMT),Computer Science,2017,75.71,80,453,Closed
FAST National University,Computer Science,2016,93.2,100,756,Closed
University of Engineering and Technology (UET) Taxila,Artificial Intelligence,2024,94.72,150,2118,Closed
University of Engineering and Technology (UET) Taxila,Electrical Engineering,2023,87.8,150,1723,Closed
University of Central Punjab (UCP),Data Science,2020,75.37,80,721,Closed
University of Agriculture Faisalabad (UAF),Data Science,2016,76.48,100,738,Closed
Islamia University of Bahawalpur,Business Administration,2020,66.4,80,680,Closed
FAST National University,Computer Science,2020,93.73,40,510,Closed
COMSATS University Islamabad,Data Science,2020,84.75,40,615,Closed
University of Engineering and Technology (UET) Taxila,Electrical Engineering,2024,87.69,150,1767,Closed
Ghulam Ishaq Khan Institute (GIKI),Civil Engineering,2016,88.86,60,599,Closed
National University of Sciences and Technology (NUST),Electrical Engineering,2015,96.1,100,1193,Closed
National University of Sciences and Technology (NUST),Chemical Engineering,2019,96.6,60,932,Closed
Punjab University (PU),Artificial Intelligence,2021,91.24,150,1996,Closed
University of Sargodha,Chemical Engineering,2018,65.22,100,1172,Closed
Air University Islamabad,Artificial Intelligence,2020,88.55,60,1130,Closed
Bahria University,Chemical Engineering,2023,83.47,50,663,Closed
University of Central Punjab (UCP),Data Science,2022,78.07,120,1296,Closed
University of the Punjab (Gujranwala Campus),Mechanical Engineering,2015,71.91,120,1679,Closed
Mehran University of Engineering and Technology,Civil Engineering,2016,72.13,40,182,Closed
Superior University Lahore,Business Administration,2017,65.5,60,461,Closed
Islamia University of Bahawalpur,Biomedical Engineering,2021,69.29,40,214,Closed
Bahria University,Artificial Intelligence,2024,84.4,50,633,Closed
University of Management and Technology (UMT),Mechanical Engineering,2023,72.46,60,418,Closed
University of Agriculture Faisalabad (UAF),Artificial Intelligence,2017,78.56,80,940,Closed
Bahauddin Zakariya University (BZU) Multan,Biomedical Engineering,2017,74.91,80,694,Closed
Quaid-i-Azam University (QAU),Business Administration,2016,86.47,40,725,Closed
Punjab University (PU),Artificial Intelligence,2024,89.51,150,2843,Closed
University of Sargodha,Civil Engineering,2018,64.69,100,457,Closed
Quaid-i-Azam University (QAU),Software Engineering,2015,88.03,100,605,Closed
NED University of Engineering and Technology,Computer Science,2015,86.66,60,618,Closed
University of the Punjab (Gujranwala Campus),Chemical Engineering,2018,74.29,40,500,Closed
Riphah International University,Mathematics,2017,66.39,100,439,Closed
Air University Islamabad,Software Engineering,2024,85.97,150,2072,Closed
Bahria University,Computer Science,2021,86.89,120,1440,Closed
Air University Islamabad,Data Science,2016,83.08,40,486,Closed
Ghulam Ishaq Khan Institute (GIKI),Software Engineering,2015,96.43,60,434,Closed
University of Management and Technology (UMT),Computer Science,2019,75.93,60,354,Closed
Punjab University (PU),Mechanical Engineering,2022,79.19,40,251,Closed
Superior University Lahore,Computer Science,2016,68.35,120,972,Closed
University of Sargodha,Electrical Engineering,2024,71.74,100,1161,Closed
Superior University Lahore,Business Administration,2015,60.45,40,465,Closed
Air University Islamabad,Artificial Intelligence,2023,88.19,100,1641,Closed
Lahore University of Management Sciences (LUMS),Business Administration,2018,93.59,120,2270,Closed
Islamia University of Bahawalpur,Chemical Engineering,2016,68.49,50,431,Closed
Islamia University of Bahawalpur,Data Science,2015,71.3,100,631,Closed
Air University Islamabad,Economics,2020,80.19,80,845,Closed
Ghulam Ishaq Khan Institute (GIKI),Mechanical Engineering,2023,94.45,150,2750,Closed
University of Engineering and Technology (UET) Lahore,Mechanical Engineering,2022,89.43,150,1889,Closed
Mehran University of Engineering and Technology,Economics,2019,72.91,40,476,Closed
Riphah International University,Biomedical Engineering,2022,73.13,80,1159,Closed
University of Agriculture Faisalabad (UAF),Mechanical Engineering,2021,71.63,60,845,Closed
University of Karachi,Data Science,2021,84.65,80,689,Closed
University of Karachi,Biomedical Engineering,2016,77.8,150,2438,Closed
National University of Sciences and Technology (NUST),Data Science,2019,98.66,50,776,Closed
Riphah International University,Civil Engineering,2015,64.74,80,536,Closed
National University of Sciences and Technology (NUST),Mechanical Engineering,2024,96.15,150,1779,Closed
NED University of Engineering and Technology,Economics,2015,82.87,120,1607,Closed
University of Karachi,Mechanical Engineering,2021,73.43,120,1746,Closed
University of Engineering and Technology (UET) Lahore,Civil Engineering,2020,86.6,120,1386,Closed
University of Sargodha,Electrical Engineering,2020,70.11,40,565,Closed
Bahria University,Software Engineering,2016,81.11,80,377,Closed
FAST National University,Biomedical Engineering,2017,91.56,50,554,Closed
Riphah International University,Biomedical Engineering,2017,74.17,80,1243,Closed
University of Karachi,Mathematics,2021,74.52,50,369,Closed
National University of Sciences and Technology (NUST),Software Engineering,2019,98.83,50,396,Closed
University of the Punjab (Gujranwala Campus),Economics,2021,70.63,60,611,Closed
Institute of Space Technology (IST),Data Science,2015,89.2,150,2742,Closed
Institute of Space Technology (IST),Software Engineering,2022,91.31,120,2079,Closed
University of Agriculture Faisalabad (UAF),Computer Science,2015,77.72,50,436,Closed
FAST National University,Computer Science,2024,97.55,60,933,Closed
University of Sargodha,Software Engineering,2015,66.61,80,1116,Closed
University of Sargodha,Mechanical Engineering,2017,62.03,100,1174,Closed
Mehran University of Engineering and Technology,Mathematics,2022,76.13,60,631,Closed
Bahauddin Zakariya University (BZU) Multan,Civil Engineering,2019,69.76,150,1932,Closed
Islamia University of Bahawalpur,Electrical Engineering,2024,72.55,60,255,Closed
Quaid-i-Azam University (QAU),Computer Science,2016,93.26,100,1379,Closed
COMSATS University Islamabad,Chemical Engineering,2024,139.26,50,865,Closed
NED University of Engineering and Technology,Artificial Intelligence,2020,90.13,80,1411,Closed
NED University of Engineering and Technology,Artificial Intelligence,2022,91.67,60,382,Closed
University of Agriculture Faisalabad (UAF),Chemical Engineering,2022,73.27,60,898,Closed
University of Agriculture Faisalabad (UAF),Data Science,2015,74.95,50,214,Closed
Lahore University of Management Sciences (LUMS),Software Engineering,2015,99.5,50,326,Closed
Quaid-i-Azam University (QAU),Artificial Intelligence,2023,97.5,50,330,Closed
Islamia University of Bahawalpur,Economics,2020,68.07,80,637,Closed
Ghulam Ishaq Khan Institute (GIKI),Biomedical Engineering,2024,,50,654,Closed
University of Engineering and Technology (UET) Taxila,Data Science,2020,94.94,120,1099,Closed
University of the Punjab (Gujranwala Campus),Biomedical Engineering,2015,,,836,Closed
University of Management and Technology (UMT),Artificial Intelligence,2021,77.34,60,940,Closed
University of Engineering and Technology (UET) Lahore,Mathematics,2023,91.01,80,1333,Closed
University of the Punjab (Gujranwala Campus),Mathematics,2024,71.82,100,1472,Closed
Institute of Space Technology (IST),Mathematics,2015,82.48,60,847,Closed
FAST National University,Economics,2019,87.38,100,1425,Closed
Riphah International University,Software Engineering,2023,73.96,60,271,Closed
Mehran University of Engineering and Technology,Civil Engineering,2021,75.43,60,839,Closed
University of Gujrat,Civil Engineering,2024,64.19,80,537,Closed
University of Engineering and Technology (UET) Taxila,Artificial Intelligence,2017,92.07,150,2344,Closed
University of Management and Technology (UMT),Artificial Intelligence,2018,77.76,120,657,Closed
University of Agriculture Faisalabad (UAF),Mathematics,2016,70.82,60,324,Closed
University of Sargodha,Chemical Engineering,2022,68.11,50,687,Closed
NED University of Engineering and Technology,Biomedical Engineering,2023,89.53,50,331,Closed
FAST National University,Biomedical Engineering,2023,91.01,150,1842,Closed
Punjab University (PU),Computer Science,2022,92.14,40,482,Closed
University of Sargodha,Mechanical Engineering,2015,66.11,60,656,Closed
Riphah International University,Mechanical Engineering,2022,69.49,80,778,Closed
Islamia University of Bahawalpur,Biomedical Engineering,2016,67.64,120,1169,Closed
National University of Sciences and Technology (NUST),Computer Science,2015,99.5,120,1051,Closed
University of Agriculture Faisalabad (UAF),Business Administration,2015,,50,576,Closed
